company_id,company_name,domain,industry,country,number_of_employees,create_date
1000000,Acumed ApS,acumed.com,Dental,Switzerland,11-50,2025-05-05 21:19:33
1000106,BioVance d.o.o.,biovance.com,Healthcare IT,Germany,501-1000,2025-05-05 11:38:37
1000379,ClearPath S.A.,clearpath.com,Dental,Sweden,501-1000,2024-07-13 19:38:57
1000486,DentalPro GmbH,dentalpro.co,Healthcare IT,United Kingdom,11-50,2025-04-24 05:18:11
1000636,EvoMed SAS,evomed.co,Medical Devices,Norway,11-50,2025-06-05 21:49:59
1000807,FlexiSurg d.o.o.,flexisurg.io,Cardiovascular,Norway,51-200,2024-10-05 23:41:34
1000994,GenomaTech AG,genomatech.com,Imaging,United States,51-200,2024-07-15 04:47:06
1001191,HealthBridge S.r.l.,healthbridge.com,Diagnostics,United Kingdom,1-10,2024-12-27 22:58:19
1001477,InnoCare Oy,innocare.eu,Imaging,Poland,11-50,2025-03-10 15:55:28
1001737,JointFlex d.o.o.,jointflex.com,Neurology,Germany,11-50,2025-03-30 04:44:09
1001848,KineMed S.L.,kinemed.com,Imaging,Austria,51-200,2024-10-06 00:48:52
1002045,LifeLink Inc,lifelink.de,Biotechnology,United States,1001-5000,2024-10-01 00:12:45
1002316,MedCore SE,medcore.co,Prosthetics,United Kingdom,51-200,2024-09-20 21:05:10
1002602,NovaScan ApS,novascan.co,Pharmaceuticals,Switzerland,1-10,2025-04-09 20:50:56
1002758,OrthoGen S.r.l.,orthogen.eu,Cardiovascular,Poland,1001-5000,2024-10-01 08:34:54
1002960,PrecisionRx Inc,precisionrx.de,Prosthetics,Austria,51-200,2025-01-15 03:34:06
1003227,QualiTech SE,qualitech.de,Ophthalmology,Finland,501-1000,2025-02-12 13:05:08
1003517,RegenMed S.A.,regenmed.co,Digital Health,Sweden,201-500,2024-11-13 10:22:37
1003719,SurgiSafe AG,surgisafe.com,Orthopedics,Ireland,201-500,2024-08-09 20:21:48
1003847,TechVita AB,techvita.com,Prosthetics,Sweden,51-200,2024-11-22 09:36:01
1004045,UniMed Oy,unimed.com,Healthcare IT,Norway,51-200,2025-04-26 08:52:36
1004319,VascuTech S.r.l.,vascutech.eu,Orthopedics,Italy,1-10,2024-10-13 03:06:33
1004447,WellPath d.o.o.,wellpath.eu,Clinical Research,Germany,1001-5000,2025-05-15 05:12:05
1004675,XenoMed Ltd,xenomed.co,Imaging,Norway,11-50,2024-08-30 21:39:25
1004930,ZenithBio Oy,zenithbio.co,Regulatory Consulting,Germany,1-10,2025-03-01 17:13:27
1005030,AlphaDevice Inc,alphadevice.eu,Biotechnology,Germany,1001-5000,2024-06-27 11:19:23
1005191,BetaLab SAS,betalab.com,Digital Health,Austria,1001-5000,2025-01-30 10:43:16
1005485,CardioSync SAS,cardiosync.co,Wound Care,Switzerland,501-1000,2024-09-30 03:08:27
1005627,DiagnosTech S.r.l.,diagnostech.de,Imaging,Italy,501-1000,2025-04-24 18:38:04
1005909,EliteMed SAS,elitemed.com,Surgical Instruments,Germany,501-1000,2025-03-24 00:20:55
1006072,FrontierBio Oy,frontierbio.de,Biotechnology,Czech Republic,1001-5000,2025-03-22 09:06:15
1006322,GlucoSense GmbH,glucosense.de,Surgical Instruments,Germany,501-1000,2025-11-27 11:28:45
1006439,HelioCare B.V.,heliocare.eu,Healthcare IT,Austria,1001-5000,2025-06-27 04:13:51
1006710,ImmunoGen AB,immunogen.co,Regulatory Consulting,United Kingdom,11-50,2025-03-30 16:39:21
1006931,JuraHealth AG,jurahealth.com,Wound Care,United Kingdom,201-500,2025-06-07 08:00:30
1007199,Kardiomed S.L.,kardiomed.com,Diagnostics,Germany,201-500,2025-08-27 12:16:12
1007471,LumosDx d.o.o.,lumosdx.eu,Cardiovascular,Denmark,201-500,2025-04-01 18:13:46
1007598,MorphoSurg SE,morphosurg.io,Dental,Germany,201-500,2025-04-12 16:03:19
1007744,NeuroLink S.r.l.,neurolink.co,Healthcare IT,Germany,1-10,2025-01-19 11:09:13
1007869,OptiVision S.r.l.,optivision.de,Regulatory Consulting,Switzerland,201-500,2025-05-29 08:11:13
1008011,ProBioMed GmbH,probiomed.de,Laboratory Equipment,Netherlands,201-500,2025-01-01 18:52:52
1008208,QuantumCare Ltd,quantumcare.io,Healthcare IT,Ireland,1001-5000,2025-12-16 10:06:09
1008486,RoboSurg SAS,robosurg.de,Pharmaceuticals,Poland,1001-5000,2025-04-19 07:09:37
1008634,SynaptiMed Oy,synaptimed.com,Pharmaceuticals,Poland,201-500,2025-01-22 00:05:27
1008925,TerraMed Oy,terramed.co,Clinical Research,Germany,11-50,2024-09-26 22:29:24
1009065,UltraCare AG,ultracare.co,Dental,United Kingdom,1-10,2025-07-05 21:31:34
1009182,VivoTech AB,vivotech.de,Biotechnology,United Kingdom,1001-5000,2025-05-30 02:25:03
1009430,WavePoint AB,wavepoint.co,Ophthalmology,Switzerland,1001-5000,2025-01-23 06:21:05
1009663,XcelMed d.o.o.,xcelmed.eu,Digital Health,Ireland,1001-5000,2024-12-31 02:53:06
1009824,YieldBio Ltd,yieldbio.io,Biotechnology,Germany,201-500,2025-10-29 15:10:35
1010004,AbleMed AB,ablemed.co,Cardiovascular,Sweden,51-200,2024-10-04 09:45:55
1010129,BioCrest SE,biocrest.eu,Imaging,Belgium,11-50,2025-10-06 22:44:00
1010246,CerebroTech SAS,cerebrotech.co,Clinical Research,Germany,1001-5000,2025-01-16 22:44:51
1010526,DynaStim S.L.,dynastim.co,Diagnostics,Austria,51-200,2025-10-30 21:08:17
1010702,EndoVault AG,endovault.com,Ophthalmology,Belgium,501-1000,2025-05-11 06:28:46
1010992,FerroCare B.V.,ferrocare.eu,Ophthalmology,Sweden,201-500,2025-07-11 11:58:06
1011144,GenetiCore Ltd,geneticore.com,Ophthalmology,Germany,1-10,2025-06-17 05:36:32
1011267,HyperMed Inc,hypermed.de,Orthopedics,Finland,201-500,2025-11-21 18:54:31
1011530,InfoSurg Oy,infosurg.io,Biotechnology,Czech Republic,11-50,2024-09-05 09:49:30
1011773,JetStream Oy,jetstream.com,Digital Health,United Kingdom,11-50,2025-05-24 14:59:04
1011967,KryptoHealth GmbH,kryptohealth.eu,Pharmaceuticals,France,11-50,2025-10-15 22:27:12
1012160,LaserMed ApS,lasermed.de,Healthcare IT,United Kingdom,501-1000,2024-10-17 20:58:24
1012430,MicroNova d.o.o.,micronova.de,Orthopedics,United Kingdom,1-10,2025-09-30 06:14:41
1012590,NanoSurg SE,nanosurg.eu,Dental,Netherlands,11-50,2025-12-04 23:22:18
1012890,OmniCure S.r.l.,omnicure.com,Regulatory Consulting,Switzerland,11-50,2025-10-31 04:40:39
1013087,PathGuard S.L.,pathguard.io,Dental,Switzerland,1-10,2024-11-28 23:28:35
1013276,QualityFirst ApS,qualityfirst.de,Biotechnology,Norway,51-200,2024-12-12 15:49:26
1013478,RadiantBio Inc,radiantbio.co,Healthcare IT,France,1-10,2025-07-08 22:54:06
1013680,SensoMed AG,sensomed.eu,Ophthalmology,Germany,1-10,2025-05-11 06:57:11
1013825,TitanHealth AB,titanhealth.io,Surgical Instruments,United Kingdom,501-1000,2025-08-07 00:39:11
1014013,UltraVision Oy,ultravision.com,Cardiovascular,Netherlands,1-10,2025-11-16 09:45:04
1014211,VeriMed d.o.o.,verimed.io,Healthcare IT,Ireland,1001-5000,2025-04-05 07:30:23
1014311,WoundTech d.o.o.,woundtech.de,Surgical Instruments,United States,51-200,2025-02-11 18:13:28
1014504,XRayPro ApS,xraypro.com,Clinical Research,Belgium,1001-5000,2025-11-16 17:27:59
1014788,ZephyrMed S.A.,zephyrmed.eu,Healthcare IT,Austria,11-50,2025-07-19 10:40:12
1014991,AquaMed S.A.,aquamed.io,Orthopedics,United States,501-1000,2025-08-18 15:27:03
1015264,BrightPath Ltd,brightpath.io,Neurology,Belgium,11-50,2025-10-08 09:34:35
1015504,CosmoBio S.A.,cosmobio.co,Prosthetics,Italy,201-500,2025-06-24 05:46:13
1015759,DeltaSurg ApS,deltasurg.de,Orthopedics,Ireland,1-10,2025-03-08 14:23:08
1015989,EchoMed Ltd,echomed.co,Surgical Instruments,Germany,11-50,2025-06-11 08:00:51
1016258,FlowTech ApS,flowtech.eu,Digital Health,Germany,1-10,2025-09-22 07:00:11
1016415,GammaCare B.V.,gammacare.io,Biotechnology,Italy,201-500,2025-10-17 21:28:00
1016671,HaloHealth ApS,halohealth.co,Laboratory Equipment,Spain,201-500,2025-07-31 23:29:56
1016820,ImpactBio B.V.,impactbio.de,Diagnostics,Norway,201-500,2025-07-13 18:14:31
1017087,JunctionMed B.V.,junctionmed.de,Pharmaceuticals,Denmark,11-50,2025-04-04 03:34:28
1017365,KeystoneDx S.L.,keystonedx.com,Prosthetics,Ireland,501-1000,2024-08-19 01:40:55
1017581,LuminaHealth Oy,luminahealth.co,Prosthetics,United States,1001-5000,2025-12-16 08:57:49
1017762,MaxiSurg Oy,maxisurg.io,Orthopedics,Finland,201-500,2025-02-20 10:14:33
1018002,NexGenMed SAS,nexgenmed.eu,Ophthalmology,Norway,501-1000,2024-10-25 14:42:57
1018294,OptiBio SAS,optibio.de,Neurology,Switzerland,51-200,2025-02-16 20:16:00
1018464,PharmaLink Inc,pharmalink.eu,Digital Health,Switzerland,201-500,2024-07-18 18:46:52
1018702,QuadMed d.o.o.,quadmed.de,Wound Care,United Kingdom,51-200,2024-10-05 20:58:38
1018982,RapidCure Oy,rapidcure.io,Wound Care,United Kingdom,501-1000,2024-07-07 22:09:56
1019188,SilkSurg d.o.o.,silksurg.com,Regulatory Consulting,Germany,51-200,2025-05-08 09:13:30
1019483,TrueNorth Ltd,truenorth.io,Healthcare IT,United States,11-50,2025-04-16 03:57:18
1019690,UnityMed SAS,unitymed.de,Medical Devices,United Kingdom,51-200,2025-02-14 10:49:03
1019859,VertexBio ApS,vertexbio.io,Prosthetics,Austria,501-1000,2024-09-06 20:54:59
1020144,WisdomHealth Oy,wisdomhealth.com,Medical Devices,Germany,1001-5000,2025-05-17 23:49:04
1020344,XploreMed S.A.,xploremed.de,Ophthalmology,United Kingdom,51-200,2024-09-16 18:22:03
1020562,YottaCare B.V.,yottacare.io,Laboratory Equipment,Netherlands,201-500,2024-12-18 03:18:28
1020745,ZebraMed Ltd,zebramed.com,Healthcare IT,Germany,51-200,2024-06-12 11:51:46
1020965,ArcticBio B.V.,arcticbio.com,Pharmaceuticals,Norway,1-10,2025-12-20 16:05:19
1021264,BlazeMed B.V.,blazemed.de,Dental,Austria,201-500,2025-06-04 10:50:56
1021369,CytoSurg ApS,cytosurg.com,Prosthetics,Czech Republic,51-200,2025-12-15 00:28:40
1021613,DawnHealth S.r.l.,dawnhealth.eu,Diagnostics,Norway,11-50,2025-05-26 07:03:53
1021755,EverMed Ltd,evermed.com,Neurology,Poland,1001-5000,2024-06-16 05:27:19
1022003,FusionDx S.A.,fusiondx.io,Dental,Germany,1001-5000,2024-09-26 14:37:45
1022286,GoldenPath S.r.l.,goldenpath.eu,Diagnostics,Poland,1-10,2025-05-23 01:03:29
1022561,HorizonMed Inc,horizonmed.co,Biotechnology,Sweden,1001-5000,2025-06-28 06:46:18
1022770,IrisBio Inc,irisbio.com,Diagnostics,United Kingdom,51-200,2025-10-01 15:24:49
1022977,JadeMed ApS,jademed.io,Orthopedics,Finland,501-1000,2024-08-30 17:22:12
1023258,KaleidoHealth ApS,kaleidohealth.eu,Healthcare IT,Norway,201-500,2025-09-23 06:17:28
1023515,LynxSurg SAS,lynxsurg.io,Surgical Instruments,Switzerland,1-10,2025-05-18 08:05:55
1023802,MeridianBio Ltd,meridianbio.io,Laboratory Equipment,France,1-10,2025-08-20 00:46:42
1023964,NimbusHealth SAS,nimbushealth.eu,Imaging,Netherlands,51-200,2025-03-17 02:48:38
1024110,OasisMed Ltd,oasismed.co,Healthcare IT,Germany,501-1000,2025-11-04 21:41:15
1024389,PeakCare B.V.,peakcare.com,Regulatory Consulting,Denmark,11-50,2025-08-02 00:06:09
1024550,QuestBio d.o.o.,questbio.io,Prosthetics,Germany,1-10,2025-07-28 02:56:28
1024815,RidgeMed Ltd,ridgemed.de,Neurology,Ireland,501-1000,2025-07-16 05:30:53
1025018,SummitHealth Inc,summithealth.io,Wound Care,Finland,501-1000,2025-04-11 20:04:51
1025259,TerraVita Inc,terravita.eu,Neurology,Netherlands,11-50,2025-02-25 01:42:09
1025538,UrbanMed AG,urbanmed.de,Healthcare IT,Norway,1001-5000,2024-08-10 21:30:11
1025718,ValleyBio SE,valleybio.de,Ophthalmology,Finland,501-1000,2025-08-12 23:49:17
1025873,WindsorHealth S.r.l.,windsorhealth.co,Diagnostics,Switzerland,51-200,2024-11-15 19:38:15
1026125,XenoBio B.V.,xenobio.eu,Healthcare IT,Austria,51-200,2024-11-27 05:52:20
1026270,YellowMed GmbH,yellowmed.com,Digital Health,United States,201-500,2024-11-21 05:41:19
1026511,ZionHealth AG,zionhealth.com,Regulatory Consulting,Italy,51-200,2024-11-16 14:43:02
1026757,AtlasBio SE,atlasbio.com,Regulatory Consulting,Germany,1-10,2025-12-11 01:13:01
1026921,BridgeMed S.A.,bridgemed.io,Pharmaceuticals,Austria,11-50,2025-05-09 04:09:54
1027039,CrestHealth S.r.l.,cresthealth.co,Dental,Germany,501-1000,2024-07-21 12:17:40
1027216,DunesMed S.r.l.,dunesmed.io,Dental,Norway,501-1000,2025-05-20 12:04:38
1027471,EagleBio S.A.,eaglebio.io,Wound Care,Belgium,501-1000,2024-11-24 07:55:47
1027684,FjordHealth AB,fjordhealth.com,Diagnostics,Norway,11-50,2025-12-22 08:16:05
1027940,GlacierMed ApS,glaciermed.de,Orthopedics,Switzerland,11-50,2025-06-27 15:12:47
1028107,HarborBio Oy,harborbio.com,Prosthetics,Czech Republic,501-1000,2024-06-02 14:04:51
1028247,IslandMed SAS,islandmed.eu,Neurology,Czech Republic,201-500,2024-10-16 06:22:11
1028355,JetBio AG,jetbio.de,Cardiovascular,United Kingdom,1-10,2025-09-11 04:22:06
1028522,KnollHealth Oy,knollhealth.de,Ophthalmology,Austria,1-10,2024-08-28 08:25:01
1028787,LakeMed GmbH,lakemed.de,Neurology,Italy,1-10,2025-05-19 20:40:00
1028965,MeadowBio SAS,meadowbio.eu,Ophthalmology,Sweden,501-1000,2025-01-25 16:30:04
1029244,NorthMed SAS,northmed.io,Wound Care,Finland,51-200,2025-05-21 15:15:27
1029364,OceanHealth AB,oceanhealth.eu,Medical Devices,Norway,1001-5000,2024-07-25 03:45:51
1029470,PineBio S.L.,pinebio.eu,Orthopedics,Spain,501-1000,2024-06-24 20:34:37
1029717,QuartzMed ApS,quartzmed.io,Wound Care,United States,201-500,2024-09-16 14:57:12
1029888,RiverHealth AG,riverhealth.io,Surgical Instruments,Ireland,1-10,2025-01-29 03:36:36
1030077,StoneMed S.L.,stonemed.de,Regulatory Consulting,Belgium,1001-5000,2025-01-31 02:31:58
1030261,TideBio S.A.,tidebio.co,Surgical Instruments,Netherlands,51-200,2025-02-25 17:04:56
1030370,UplandHealth AG,uplandhealth.io,Medical Devices,Ireland,501-1000,2025-10-03 04:21:50
1030601,VistaMed SAS,vistamed.io,Imaging,United States,201-500,2024-09-20 05:40:29
1030714,WillowBio ApS,willowbio.io,Ophthalmology,Denmark,11-50,2024-07-01 14:32:19
1031008,PlainsMed Ltd,plainsmed.io,Medical Devices,United States,501-1000,2025-03-15 10:25:05
1031286,CanopyHealth S.r.l.,canopyhealth.de,Healthcare IT,Germany,501-1000,2024-09-02 22:02:16
1031567,GroveMed S.A.,grovemed.com,Diagnostics,Italy,1-10,2026-01-10 09:48:12
1031724,FieldBio ApS,fieldbio.de,Neurology,Sweden,1001-5000,2025-12-06 01:31:06
1031951,CliffHealth Ltd,cliffhealth.io,Dental,Italy,501-1000,2026-01-03 06:50:29
1032174,MarshMed SE,marshmed.io,Clinical Research,Finland,11-50,2025-11-29 16:01:39
1032322,PondBio S.L.,pondbio.com,Wound Care,France,501-1000,2025-09-02 04:42:44
1032492,ReefHealth Ltd,reefhealth.com,Regulatory Consulting,Austria,201-500,2025-08-05 13:09:27
1032664,SlopeMed Oy,slopemed.io,Healthcare IT,United Kingdom,201-500,2024-12-15 03:17:07
1032852,TrailBio Inc,trailbio.de,Laboratory Equipment,Switzerland,201-500,2024-10-20 14:40:49
1033130,CoralHealth GmbH,coralhealth.eu,Laboratory Equipment,United Kingdom,1001-5000,2025-03-08 11:23:52
1033420,DuneMed S.r.l.,dunemed.de,Digital Health,Sweden,501-1000,2025-12-25 03:22:53
1033646,FernBio Inc,fernbio.com,Prosthetics,Germany,1001-5000,2024-07-30 03:05:48
1033858,GlenHealth SE,glenhealth.io,Biotechnology,Spain,51-200,2025-12-28 04:25:30
1034125,HillMed Inc,hillmed.co,Biotechnology,France,1001-5000,2025-01-22 16:58:57
1034402,InletBio S.L.,inletbio.co,Regulatory Consulting,Denmark,1-10,2025-12-18 19:18:52
1034599,KnightHealth AB,knighthealth.com,Neurology,Switzerland,1001-5000,2025-06-10 06:41:00
1034759,LedgeMed AG,ledgemed.io,Diagnostics,Italy,11-50,2025-08-25 21:34:53
1034884,MoorBio d.o.o.,moorbio.eu,Pharmaceuticals,Belgium,51-200,2024-06-28 06:32:36
1034991,NestHealth Inc,nesthealth.io,Wound Care,Poland,1001-5000,2024-10-23 19:25:04
1035128,OrchardMed S.r.l.,orchardmed.de,Laboratory Equipment,United States,1001-5000,2024-09-12 19:35:13
1035271,PassBio B.V.,passbio.io,Prosthetics,United States,51-200,2024-08-24 20:51:05
1035520,QuayHealth SAS,quayhealth.eu,Prosthetics,Belgium,1001-5000,2024-06-06 13:44:39
1035790,RavineHealth Oy,ravinehealth.de,Imaging,Poland,51-200,2025-02-17 22:41:53
1035908,ShelfMed ApS,shelfmed.io,Neurology,Switzerland,201-500,2024-10-27 07:23:52
1036184,Acumed S.L.,acumed.io,Imaging,Poland,51-200,2024-10-19 15:54:41
1036311,BioVance d.o.o.,biovance.eu,Laboratory Equipment,Netherlands,1-10,2026-01-01 22:06:21
1036416,ClearPath AB,clearpath.com,Neurology,Norway,11-50,2025-08-16 21:17:24
1036671,DentalPro AB,dentalpro.eu,Ophthalmology,Ireland,1001-5000,2025-06-13 12:20:44
1036827,EvoMed S.r.l.,evomed.de,Pharmaceuticals,Belgium,201-500,2024-07-28 14:50:13
1037087,FlexiSurg GmbH,flexisurg.co,Biotechnology,Belgium,51-200,2025-08-09 06:56:39
1037280,GenomaTech d.o.o.,genomatech.io,Healthcare IT,France,501-1000,2024-09-28 01:42:41
1037424,HealthBridge Oy,healthbridge.eu,Regulatory Consulting,Belgium,1001-5000,2024-10-31 09:11:53
1037566,InnoCare S.L.,innocare.eu,Biotechnology,Austria,11-50,2025-03-05 17:17:32
1037695,JointFlex S.L.,jointflex.io,Laboratory Equipment,Germany,51-200,2025-01-03 21:42:37
1037937,KineMed Oy,kinemed.com,Ophthalmology,Poland,201-500,2025-01-05 13:42:39
1038153,LifeLink S.L.,lifelink.eu,Regulatory Consulting,Germany,501-1000,2025-07-06 04:16:25
1038280,MedCore Oy,medcore.eu,Biotechnology,United States,201-500,2024-10-10 06:29:52
1038536,NovaScan d.o.o.,novascan.eu,Digital Health,Germany,1-10,2025-01-29 02:51:59
1038802,OrthoGen Ltd,orthogen.io,Healthcare IT,Austria,201-500,2024-07-28 15:14:11
1038931,PrecisionRx SAS,precisionrx.eu,Healthcare IT,United Kingdom,501-1000,2025-12-15 23:35:13
1039202,QualiTech d.o.o.,qualitech.de,Regulatory Consulting,United States,201-500,2025-06-24 08:50:54
1039408,RegenMed Ltd,regenmed.com,Prosthetics,Italy,11-50,2025-01-06 17:22:56
1039684,SurgiSafe S.L.,surgisafe.eu,Imaging,Denmark,1001-5000,2026-01-03 16:33:47
1039809,TechVita Inc,techvita.com,Diagnostics,Italy,1-10,2024-11-11 14:20:40
1040010,UniMed ApS,unimed.de,Medical Devices,Germany,51-200,2025-06-15 05:15:47
1040274,VascuTech B.V.,vascutech.de,Healthcare IT,Switzerland,501-1000,2024-09-30 16:29:08
1040518,WellPath B.V.,wellpath.de,Medical Devices,Netherlands,11-50,2025-09-03 04:48:48
1040702,XenoMed SE,xenomed.co,Diagnostics,Ireland,1-10,2025-09-17 12:26:55
1040866,ZenithBio SE,zenithbio.com,Dental,Poland,51-200,2025-09-12 11:03:42
1041057,AlphaDevice GmbH,alphadevice.de,Wound Care,Sweden,1-10,2024-07-02 01:44:34
1041224,BetaLab d.o.o.,betalab.com,Imaging,Sweden,501-1000,2025-02-21 19:51:10
1041445,CardioSync AG,cardiosync.io,Pharmaceuticals,Finland,1001-5000,2024-10-10 09:05:46
1041673,DiagnosTech Oy,diagnostech.eu,Medical Devices,Germany,201-500,2025-06-17 12:01:28
1041890,EliteMed S.L.,elitemed.io,Regulatory Consulting,Czech Republic,201-500,2025-07-12 20:32:22
1042099,FrontierBio AG,frontierbio.com,Biotechnology,Austria,51-200,2025-05-27 17:17:20
1042281,GlucoSense AB,glucosense.co,Laboratory Equipment,United States,501-1000,2025-07-28 07:21:30
1042521,HelioCare Ltd,heliocare.io,Diagnostics,Czech Republic,1-10,2025-05-26 00:26:02
1042750,ImmunoGen S.L.,immunogen.co,Wound Care,Italy,11-50,2025-10-27 05:41:11
1043034,JuraHealth S.A.,jurahealth.eu,Diagnostics,France,201-500,2025-01-23 10:43:40
1043250,Kardiomed Inc,kardiomed.eu,Regulatory Consulting,Germany,1-10,2025-12-18 11:31:43
1043445,LumosDx S.L.,lumosdx.com,Imaging,Austria,501-1000,2025-02-12 02:27:59
1043568,MorphoSurg GmbH,morphosurg.co,Diagnostics,United Kingdom,51-200,2025-04-30 01:52:40
1043811,NeuroLink S.L.,neurolink.io,Neurology,United States,51-200,2024-07-01 12:10:50
1044095,OptiVision Inc,optivision.com,Digital Health,Ireland,201-500,2025-03-28 21:29:43
1044342,ProBioMed B.V.,probiomed.com,Imaging,Germany,51-200,2025-10-15 07:21:16
1044531,QuantumCare AB,quantumcare.de,Healthcare IT,Germany,501-1000,2025-10-15 04:14:53
1044740,RoboSurg ApS,robosurg.eu,Neurology,France,51-200,2024-09-15 23:40:53
1044847,SynaptiMed GmbH,synaptimed.de,Laboratory Equipment,Germany,11-50,2025-05-02 19:52:54
1044983,TerraMed d.o.o.,terramed.com,Cardiovascular,United Kingdom,201-500,2025-08-17 10:39:45
1045106,UltraCare SAS,ultracare.eu,Surgical Instruments,Norway,501-1000,2025-01-06 10:35:44
1045246,VivoTech AB,vivotech.com,Pharmaceuticals,Ireland,1-10,2024-09-01 06:12:47
1045359,WavePoint Ltd,wavepoint.io,Prosthetics,United Kingdom,51-200,2025-02-07 10:34:41
1045628,XcelMed B.V.,xcelmed.co,Diagnostics,Belgium,1001-5000,2024-12-22 16:30:00
1045757,YieldBio ApS,yieldbio.co,Neurology,Germany,11-50,2025-04-09 11:19:34
1045981,AbleMed S.A.,ablemed.co,Neurology,Switzerland,11-50,2024-06-05 13:24:09
1046095,BioCrest S.r.l.,biocrest.eu,Medical Devices,Spain,1001-5000,2024-12-12 13:50:14
1046269,CerebroTech S.A.,cerebrotech.de,Dental,Sweden,501-1000,2025-01-12 11:06:44
1046402,DynaStim S.L.,dynastim.eu,Pharmaceuticals,United Kingdom,1-10,2025-01-22 11:07:01
1046520,EndoVault SAS,endovault.com,Laboratory Equipment,Czech Republic,1001-5000,2025-05-08 10:12:15
1046700,FerroCare S.A.,ferrocare.eu,Surgical Instruments,Austria,501-1000,2025-01-27 04:25:11
1046829,GenetiCore SAS,geneticore.eu,Diagnostics,Switzerland,201-500,2025-02-14 23:16:55
1046951,HyperMed AB,hypermed.io,Neurology,Finland,51-200,2024-07-17 15:18:19
1047185,InfoSurg B.V.,infosurg.eu,Clinical Research,United States,1-10,2024-09-08 16:51:52
1047484,JetStream Oy,jetstream.co,Imaging,France,1001-5000,2025-11-20 05:05:32
1047633,KryptoHealth S.L.,kryptohealth.de,Ophthalmology,Switzerland,11-50,2024-07-31 23:06:50
1047793,LaserMed AB,lasermed.de,Biotechnology,Austria,1001-5000,2025-08-25 04:15:24
1048087,MicroNova SAS,micronova.io,Prosthetics,Ireland,501-1000,2025-05-01 07:05:00
1048380,NanoSurg ApS,nanosurg.co,Surgical Instruments,Austria,201-500,2025-10-26 11:57:41
1048562,OmniCure AG,omnicure.io,Ophthalmology,Poland,1-10,2025-06-10 09:52:22
1048775,PathGuard Inc,pathguard.co,Prosthetics,Germany,1-10,2024-12-02 01:43:28
1048893,QualityFirst Inc,qualityfirst.eu,Biotechnology,United States,501-1000,2025-06-18 06:53:35
1049012,RadiantBio Oy,radiantbio.io,Pharmaceuticals,Italy,501-1000,2025-05-11 03:14:53
1049230,SensoMed ApS,sensomed.de,Clinical Research,Austria,1-10,2025-05-25 18:26:34
1049412,TitanHealth SAS,titanhealth.com,Biotechnology,Sweden,1001-5000,2026-01-04 13:18:41
1049599,UltraVision SE,ultravision.com,Prosthetics,Sweden,501-1000,2025-07-25 14:52:19
1049762,VeriMed AB,verimed.de,Neurology,United Kingdom,201-500,2025-01-08 02:25:45
1049955,WoundTech S.r.l.,woundtech.eu,Surgical Instruments,Germany,51-200,2025-05-21 13:06:41
1050228,XRayPro AG,xraypro.co,Ophthalmology,Finland,1001-5000,2025-01-16 05:34:54
1050501,ZephyrMed AB,zephyrmed.de,Digital Health,France,51-200,2024-07-19 07:56:10
1050686,AquaMed ApS,aquamed.io,Biotechnology,Belgium,501-1000,2025-05-19 20:37:36
1050819,BrightPath S.A.,brightpath.eu,Clinical Research,Germany,1001-5000,2025-07-03 09:05:47
1050951,CosmoBio ApS,cosmobio.io,Imaging,Belgium,11-50,2025-01-01 13:32:14
